Department,Bytes,CourseCount,SectionCount
ALEM,1670,3,5
AGRO,13324,19,52
ADOF,3107,7,7
ANTR,507,1,1
ASTR,1349,3,4
ADMI,10779,14,40
ARTE,9654,21,33
BIND,1610,4,4
CFIT,3150,2,15
BOTA,8246,2,48
CHIN,1090,2,4
CIAG,765,2,2
CIFI,504,1,1
CIBI,6393,2,29
CIAN,17891,25,71
CIMA,4322,7,22
CIIC,11658,19,44
CIMI,2432,7,7
CINE,2033,4,6
CIPO,6561,14,18
CISO,4785,9,14
CITA,5701,11,19
BIOL,61714,45,299
CMOB,3035,8,8
CMOF,1592,4,4
CMOQ,445,1,1
CMOG,1921,5,5
COMP,6341,11,22
CONT,5181,9,16
EDES,2224,5,5
ECAG,7157,13,25
EDAG,5635,9,21
ECON,8548,10,33
EDFU,3303,4,12
EDPE,6965,15,17
EDUC,473,1,1
ESAE,1733,4,5
ESHI,1313,3,3
ENFE,7955,12,27
EDFI,26131,36,108
ESMA,4474,8,15
ESTA,1479,2,5
EXAG,1163,3,3
FILO,6887,13,26
FINA,3457,6,12
ESPA,17119,16,76
FRAN,5688,11,19
GERE,2407,5,7
GERH,3790,7,12
FISI,29607,31,137
GEOL,17751,25,74
HIST,4466,10,13
HORT,6694,13,24
HUMA,6354,7,26
INGE,19169,17,83
INCI,33620,62,112
INEL,31290,53,116
ICOM,9764,16,37
ININ,16805,27,58
INQU,19049,30,71
INSO,1730,4,4
ITAL,2134,4,8
INGL,40504,52,171
INTD,4822,10,15
INME,37667,42,155
LATI,594,1,2
LING,2244,5,5
LITE,2048,5,5
MERC,3150,6,12
METE,1726,4,4
MUSI,5071,9,18
PROC,8676,16,32
PSIC,22181,35,83
SICI,2400,5,6
MATE,49129,37,224
SAGA,5054,7,19
TEAT,1471,3,4
TEED,868,2,2
SOCI,4551,10,12
TRAD,429,1,1
UNIV,543,1,2
QUIM,54585,51,264
